type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,12,1024,333455203410495,60620,0,0,0,1277656,11422,0,0,0,10033,330436727,139403
MULTIVAR,test,2,64,12,1024,333455540168352,84291,0,0,0,962817,11815,0,0,0,8553,139520536,115604
MULTIVAR,test,2,64,12,1024,333455685612362,73187,0,0,0,3311426,11346,0,0,0,10113,299775833,166480
MULTIVAR,test,2,64,12,1024,333455993919269,58881,0,0,0,1395205,9329,0,0,0,4764,123719019,84759
MULTIVAR,test,2,64,12,1024,333456123860350,56089,0,0,0,1368662,14774,0,0,0,6819,116317759,84579
MULTIVAR,test,2,64,12,1024,333456246437762,66570,0,0,0,795474,9391,0,0,0,10049,141058956,116562
MULTIVAR,test,2,64,12,1024,333456394510230,55245,0,0,0,740347,12152,0,0,0,6469,113843083,84828
MULTIVAR,test,2,64,12,1024,333456513918237,52012,0,0,0,1006063,12502,0,0,0,5602,106510967,91950
MULTIVAR,test,2,64,12,1024,333456626171864,51504,0,0,0,750589,10791,0,0,0,7722,169128581,99144
MULTIVAR,test,2,64,12,1024,333456804084238,72626,0,0,0,762056,8750,0,0,0,11162,240156147,155290
MULTIVAR,test,2,64,19,1024,333457050004783,55792,0,0,0,1730844,61077,0,0,0,12287,305542197,152367
MULTIVAR,test,2,64,19,1024,333457362637714,79204,0,0,0,1324699,34369,0,0,0,13818,364366885,192042
MULTIVAR,test,2,64,19,1024,333457733342081,61090,0,0,0,2625719,9528,0,0,0,12679,263618493,168632
MULTIVAR,test,2,64,19,1024,333458004596292,113804,0,0,0,1355362,15354,0,0,0,6429,109397722,83646
MULTIVAR,test,2,64,19,1024,333458120488653,69276,0,0,0,1179239,9477,0,0,0,9199,179042110,98022
MULTIVAR,test,2,64,19,1024,333458306699402,60766,0,0,0,1350533,13016,0,0,0,8937,179017639,127285
MULTIVAR,test,2,64,19,1024,333458492607025,97229,0,0,0,953635,7832,0,0,0,13348,371995779,188795
MULTIVAR,test,2,64,19,1024,333458870485291,117919,0,0,0,760207,8875,0,0,0,10599,172811263,136765
MULTIVAR,test,2,64,19,1024,333459049340797,54010,0,0,0,1696689,12109,0,0,0,24876,383847103,193328
MULTIVAR,test,2,64,19,1024,333459444419411,67182,0,0,0,2008997,12418,0,0,0,55981,115547760,102083
MULTIVAR,test,2,64,19,1024,333459566774356,49485,0,0,0,1799493,12825,0,0,0,6091,96071771,85761
MULTIVAR,test,2,64,19,1024,333459669721658,52440,0,0,0,861108,8935,0,0,0,9453,116228424,98058
MULTIVAR,test,2,64,19,1024,333459791531909,46787,0,0,0,1422083,11346,0,0,0,4781,153573016,88732
MULTIVAR,test,2,64,19,1024,333459952316832,57865,0,0,0,1381685,11364,0,0,0,110071,186711931,120354
